first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Jorge,Abad,pab367, @jrg_abad ,1,1,19,58,489,62
Ahmed,Abd Ellah,pab127, @profahmhamed ,1,0,8,256,"1,269",163
Kim,Abildgren,pab325, @kim_abildgren ,3,0,19,19,0,41
Sofiane,Aboura,pab28, @sofianeaboura ,5,2,54,"2,036",648,652
Daron,Acemoglu,pac16, @DrDaronAcemoglu ,69,173,24873,32,341,"24,100"
Tony,Addison,pad159, @tonysangle ,11,14,373,"43,300","3,977","21,300"
Oluwatobiloba,Adewunmi,pad203, @oluwatobiclay ,11,14,373,624,761,187
Anjali,Adukia,pad164, @aadukia ,1,0,7,7,622,446
Amanda,Agan,pag103, @amandayagan ,2,1,30,521,371,"1,277"
Claudio,Agostini,pag22, @agostini_cl ,6,1,123,"1,723",169,"9,022"
David,Agrawal,pag45, @davidragrawal ,3,1,40,49,364,171
Victor,Aguirregabiria,pag15, @vaguirregabiria ,11,14,878,834,355,309
Alexander,Ahammer,pah166, @ahammeralex ,2,0,6,23,125,47
Olugbenga,Ajilore,paj29, @gbenga_ajilore ,3,1,22,"4,839",791,475
Seyi,Akadiri,pak216, @sainty02 ,1,0,2,112,149,76
K. Ali,Akkemik,pak13, @akkemik ,5,3,86,421,44,152
Cevat Giray,Aksoy,pak156, @cevatgirayaksoy ,1,0,1,"1,274",492,930
Mouawiya,Al Awad,pal278, @mouawiya ,3,2,78,11,7,2
Abdullah,Al-Bahrani,pal867, @teach_econ ,2,0,11,"8,635","1,472","1,927"
Lilia,Aleksanyan,pal649, @laleksanyan ,2,0,9,268,746,416
Mabid,Al-Jarhi,pal663, @maljarhi ,2,0,13,"52,700","9,088","8,360"
Guillaume,AllÌ¬gre,pal370, @g_allegre ,4,0,31,"4,868","1,435","3,748"
CÌ©sar,Alonso-Borrego,pal9, @alonsobcesar ,8,8,575,"5,430",555,360
Adrian,Alter,pal673, @romanianromance ,4,3,214,639,"9,754","12,300"
Guillermo,Alves,pal497, @guillermo_alves ,3,0,22,"11,900","1,215","1,032"
Lykke,Andersen,pan43, @lykkeeandersen ,8,5,245,639,196,348
Soren,Anderson,pan315, @sorentanderson ,10,10,495,151,108,143
David,Andolfatto,pan9, @dandolfa ,13,17,1290,"17,200",631,"8,700"
Massimo,Anelli,pan451, @massimo_anelli ,3,0,22,385,518,254
David,Angenendt,pan468, @datanecon ,3,0,22,278,"1,278",180
Erik,Angner,pan161, @erikangner ,3,1,35,"4,615","2,604","2,650"
Joshua,Angrist,pan29, @metrics52 ,48,85,11762,131,182,"3,682"
John,Anyanwu,pan390, @jcanyanwu ,13,17,486,"11,000",232,180
Sebastian,Aparicio,pap38, @sebasaparicio15 ,2,1,18,"3,605",182,201
Edson,Araujo,par133, @araujoec ,1,0,2,59,86,62
Eva,Arceo-Gomez,par290, @evaoarceo ,5,4,112,"3,195",466,900
Rodrigo,Arim,par339, @rodrigoarim1 ,5,0,50,635,824,"3,035"
BjÌ?rn,Arnarson,par416, @bjorci ,1,0,4,184,535,115
Leticia,Arroyo Abad,par370, @larroyoabad ,3,1,32,"3,486",626,437
Benito,ArruÌ±ada,par20, @benitoarrunada ,7,5,203,"32,400",733,"7,294"
Nuran,Arslaner,par337, @noorarx ,2,0,7,6,495,81
Ferhat,Arslaner,par395, @farslaner ,3,0,16,390,888,165
Julio,Arteaga,par292, @jc_artegar ,1,0,4,"4,120",72,346
Nikos,Askitas,pas55, @askitas ,4,3,145,"5,251",126,268
Susan,Athey,pat6, @susan_athey ,24,33,2151,346,401,"10,300"
M. Aykut,Attar,pat34, @maattar ,1,0,2,"5,412","2,976","1,352"
Titus,Awokuse,paw5, @titusawokuse ,10,11,330,275,304,287
N. Emrah,Aydinonat,pay1, @aydinonat ,2,0,10,"3,510",581,"2,560"
Sara,AyllÌ?n,pay16, @ayllonsara ,3,0,24,"1,017",119,227
Marina,Azzimonti,paz11, @mazzimon77 ,11,12,371,80,65,149
Ruediger,Bachmann,pba751, @bachmannrudi ,12,13,771,"6,468",67,740
Lance,Bachmeier,pba1435, @lancebachmeier ,7,7,368,"2,976",510,556
David,Backus,pba242, @NYUSternEcon ,28,39,4595,249,10,244
Stijn,Baert,pba1112, @stijn_baert ,6,3,149,"2,136",423,"3,025"
Alberto,Bagnai,pba221, @albertobagnai ,6,3,89,"165,000",562,"75,600"
Dany,Bahar,pba1149, @dany_bahar ,3,2,64,"5,035",890,"15,300"
RaÃºl,Bajo-Buenestado,pba571, @raulbajob ,1,0,2,"1,928",192,199
Richard,Baldwin,pba124, @baldwinre ,44,76,6422,"22,900","1,311","16,200"
Arsenio,Balisacan,pba300, @ambalisacan ,9,9,344,743,184,526
Asma,Baloch,pba262, @asmahyder ,4,2,58,"1,301",159,326
Roberto,Bande,pba387, @roberto_bande ,4,2,89,"1,305",202,138
Nelson,Barbosa-Filho,pba98, @nelsonhbarbosa ,7,5,228,"1,092",274,"4,053"
Jason,Barr,pba130, @jasonbarrru ,5,2,106,266,293,96
John,Barrdear,pba1222, @johnbarrdear ,3,3,59,"1,249",371,204
Alan,Barreca,pba1012, @alanbarreca ,7,7,271,"1,327",396,321
Felipe,Barrera-Osorio,pba426, @felbarrera ,9,9,353,"1,882",553,"2,821"
ZoltÃ¡n,Bartha,pba1146, @z655321 ,3,0,21,31,16,26
Timothy,Bartik,pba76, @timbartik ,16,24,1848,"5,166","1,599","1,813"
Francesco,Bartolucci,pba960, @f_bartolucci ,8,7,267,47,70,77
Moreno,Baruffini,pba745, @baruffinimoreno ,1,0,3,623,414,137
Kaushik,Basu,pba464, @kaushikcbasu ,23,46,2497,"5,420",632,"102,000"
Bernardo,Batiz-Lazo,pba14, @batizlazo ,3,0,26,"74,600","2,618","2,530"
Stefan,Bauernschuster,pba546, @sbauernschuster ,10,10,372,178,115,111
Christopher,Baum,pba1, @cfbaum ,19,44,2822,543,70,119
Remi,Bazillier,pba247, @remibaz ,3,2,54,"3,149",903,"1,042"
Lasse,Becker,pbe966, @lassebecker ,1,0,6,"15,500","1,526","4,530"
Sascha,Becker,pbe98, @essobecker ,25,33,2745,"3,602",480,"1,853"
Jodi,Beggs,pbe340, @jodiecongirl ,25,33,2745,"36,100","2,391","14,400"
GermÃ ,Bel,pbe104, @gebelque ,12,16,536,"23,400","2,769","70,800"
Antoine,Belgodere,pbe372, @abelgo_optimum ,2,0,14,"1,879",341,562
Peter,Bell,pbe887, @peternbell ,1,0,1,"19,800","1,474","1,210"
Marc,Bellemare,pbe260, @marcfbellemare ,10,13,513,"15,400","2,359","4,840"
AgnÃ¨s,Benassy-Quere,pbe105, @agnesbq1 ,20,34,1336,50,47,415
Jonathan,Benchimol,pbe432, @benchimolium ,2,1,31,259,832,703
Patrick,Bennett,pbe1041, @pat_d_bennett ,1,0,1,46,114,55
Yonatan,Ben-Shalom,pbe736, @benshalomy ,3,1,72,993,465,230
Peter,Bent,pbe999, @phbent ,1,0,1,"6,561","4,999","3,843"
Nicoletta,Berardi,pbe700, @berardi_n_ ,3,1,39,70,95,250
Antonin,Bergeaud,pbe904, @a_bergeaud ,4,4,77,519,346,270
Peter,Bergeijk,pbe494, @economendagboek ,7,6,196,355,5,65
Niclas,Berggren,pbe3, @nonicoc ,13,17,659,"23,800",800,"1,506"
Olvar,Bergland,pbe926, @obergland ,6,4,139,"3,945",357,671
Raphael,Bergoeing,pbe8, @rbergoeingv ,10,12,410,"7,950",357,"16,800"
Martin,Berka,pbe194, @mabe74 ,7,7,153,221,212,65
Ben,Bernanke,pbe55, @benbernanke ,42,65,17993,61,2,"98,900"
Giovanni,Bernardo,pbe875, @giobernardo ,1,0,8,"1,556",689,519
Joshua,Berning,pbe588, @joshuaberning ,4,3,48,"2,039",496,298
David,Bernstein,pbe1106, @davidhbernstein ,1,0,2,48,197,25
Ata,Bertay,pbe694, @atabertay ,3,3,140,908,328,212
Alexandre,Berthe,pbe968, @aberthep7 ,1,0,6,82,222,56
Antoine,Berthou,pbe393, @antoineberthou ,10,11,316,652,209,367
James,Bessen,pbe44, @jamesbessen ,13,13,752,"2,850",584,"2,452"
Keshab,Bhattarai,pbh51, @keshabrbhattar1 ,5,1,67,194,137,34
Sumon,Bhaumik,pbh26, @sbhau ,11,12,545,"4,905",83,549
Ingo,BÃ¶bel,pbo42, @ibobel ,2,0,17,"1,946",183,244
RenÃ©,BÃ¶heim,pbh15, @rboheim ,11,11,383,"5,196",459,473
Sophie,BÃ©jean,pbj20, @sophiebejean ,3,1,28,"3,042","1,098","2,157"
David,Bieri,pbi53, @space_economy ,2,1,13,228,324,206
Vincent,Bignon,pbi82, @bignonvincent ,5,2,83,202,109,134
Faik,Bilgili,pbi181, @maviwest ,6,4,120,"6,111",252,654
Monica,Billio,pbi55, @mbillio ,15,19,940,395,206,361
John,Bistline,pbi297, @jebistline ,3,0,21,386,335,184
Hilde,BjÃ¸rnland,pbj2, @hcbjornland ,14,19,607,"1,121",251,"1,724"
Sandra,Black,pbl92, @econ_sandy ,25,35,3990,608,267,"3,061"
Olivier,Blanchard,pbl2, @ojblanchard1 ,63,124,21171,128,193,"19,300"
David,Blanchflower,pbl22, @d_blanchflower ,37,66,7033,"97,300","2,454","61,400"
Emilio,Blanco,pbl158, @emiliofblanco ,2,0,10,"3,695",543,292
Yolanda,Blasco-Martel,pbl153, @yblascom ,1,0,2,"1,614",202,239
Christopher,Blattman,pbl37, @cblatts ,10,10,750,"19,300","2,612","61,200"
Marlon,Boarnet,pbo568, @marlon_boarnet ,10,12,468,"3,619",483,"1,236"
Nuno Filipe,Boavida,pbo324, @nunoboavida ,1,0,6,578,237,194
Johannes,Boehm,pbo840, @johannesmboehm ,1,1,12,114,122,178
Peter,Boettke,pbo185, @peterboettke ,11,11,329,"10,900",236,"8,079"
Francesco,Bogliacino,pbo401, @fbogliacino ,8,7,253,"1,701",793,494
Michele,Boldrin,pbo31, @micheleboldrin ,24,37,2862,"13,700",577,"31,700"
Federico,Bonaglia,pbo68, @fbonaglia ,7,6,258,"7,530","1,219","2,236"
Fabio,Boncinelli,pbo967, @fabioso77 ,1,0,2,261,753,178
Jean-Marc,Bonnisseau,pbo292, @bonnisseaujm ,11,13,274,59,25,62
Fabrice,Borel-Mathurin,pbo904, @fabrice_bm ,1,0,5,"150,000",391,"2,198"
Anne,Boring,pbo736, @anne_boring ,2,0,9,"1,202",783,611
Vani,Borooah,pbo27, @vkborooah ,10,10,429,7,24,16
Olivier,Bos,pbo457, @olivierbos ,2,1,15,484,150,225
Alina,Botezat,pbo559, @alina_botezat ,2,0,11,166,414,39
Olivier,Bouba-Olga,pbo465, @obouba ,4,1,52,"3,405",478,"3,627"
Patrice,Bougette,pbo222, @pbougette ,3,0,22,572,416,382
Jamal,Bouoiyour,pbo522, @bouoiyour_b ,7,5,186,600,439,215
Renaud,BourlÃ¨s,pbo256, @renaudbourles ,7,6,283,804,333,228
Leah,Boustan,pbo332, @leah_boustan ,11,12,459,"6,005",756,"7,026"
Chad,Bown,pbo555, @chadbown ,14,22,631,"7,914",580,"46,600"
John,Bradbury,pbr707, @jc_bradbury ,3,3,112,"12,000",311,"3,325"
Pablo,BraÃ±as-Garza,pbr52, @behsnaps ,13,15,449,551,455,"1,320"
William,Branch,pbr196, @williamabranch ,14,16,913,916,187,219
Boris,Branisa,pbr324, @bbranisa ,6,4,94,"4,773","1,199",335
Tilman,BrÃ?ck,pbr19, @tilmanbrueck ,12,12,406,101,380,302
Jason,Briggeman,pbr521, @jbriggeman ,1,1,11,"7,988",388,534
Taggert,Brooks,pbr669, @brookstagg ,4,3,120,"1,920",476,254
Annette,Brown,pbr630, @anbrowndc ,4,2,73,"2,221",137,932
Markus,Brunnermeier,pbr31, @markuseconomist ,22,28,4523,973,507,"7,214"
Erik,Brynjolfsson,pbr87, @erikbryn ,17,23,3066,"12,700","1,171","166,000"
Alex,Bryson,pbr105, @alexanderbryson ,14,23,854,378,8,439
Kasey,Buckles,pbu157, @kasey_buckles ,7,5,271,303,127,990
John,Budd,pbu1, @johnwbudd ,8,7,319,"1,557",167,562
Ioan Sebastian,Buhai,pbu72, @sbuhai ,4,2,48,"6,915",99,188
Gabriel,BurdÃ?n,pbu170, @gabrielburdin ,4,2,97,"5,346","1,849","1,575"
Paul,Burke,pbu214, @burke_ec ,9,8,214,"2,665","1,138","1,244"
Fiona,Burlig,pbu426, @fburlig ,1,0,3,"2,392","1,776",895
Matthieu,Bussiere,pbu118, @matt_bussiere ,21,31,1399,569,196,271
Kristy,Buzard,pbu379, @kbuzard7 ,4,0,32,167,50,103
David,Byrne,pby17, @tornqvist999 ,6,6,206,703,95,419
Gustavo,Caballero Orozco,pca706, @gcaballeroo ,1,0,3,"6,044",716,200
Antonio,Cabrales,pca5, @cabralestweet ,18,28,893,"1,952",406,"2,642"
Julia,Cag√©,pca601, @cagejulia ,5,2,66,"4,614","1,858","13,300"
Christophe,Cahn,pca442, @economhipster ,7,4,138,33,55,45
Leigh,Caldwell,pca547, @leighblue ,7,4,138,"78,100","4,016","4,774"
Enrique,Calfucura,pca119, @enriquecalfucur ,4,2,54,"6,805",456,637
Gray,Calhoun,pca491, @grayclhn ,2,1,16,2,140,151
Mercedez,Callenes,pca676, @m_callenes ,2,1,31,22,88,32
Adriana,Camacho,pca400, @adcamach ,8,7,269,"1,725",306,"1,735"
James,Campbell,pca1243, @jamesdcamp ,1,1,18,"4,089","1,302",457
Stuart,Campbell,pca940, @_stuartcampbell ,1,1,11,"2,000",725,727
Douglas,Campbell,pca584, @tradeandmoney ,4,1,34,"1,348","5,982","6,179"
Nauro,Campos,pca133, @naurocampos ,17,34,1080,"6,233",211,548
Raymundo,Campos-Vazquez,pca931, @rmcamposvazquez ,7,6,117,"3,496",482,"3,029"
Massimo,Canali,pca651, @massimocanali3 ,1,0,2,28,29,16
Fabien,Candau,pca221, @blogageco ,3,1,68,"2,638",997,962
Cristiano,Cantore,pca433, @c_cantore ,7,3,104,"16,700",735,356
C. Monica,Capra,pca93, @cmoncap ,9,9,312,683,197,239
Santiago,Carbo Valverde,pca189, @scarboval ,12,13,650,"9,828","1,553","5,964"
Carlo,Carraro,pca270, @ccarraro_unive ,22,39,1947,"1,424",190,"1,314"
Edward,Cartwright,pca11, @cartwright_e ,6,2,100,65,89,23
Barbara,Casu,pca151, @bcasulukac ,13,15,681,69,81,48
John,Cawley,pca6, @cawley_john ,22,39,2161,"1,466",562,"2,011"
Hugo,Cerqueira,pce10, @economicthought ,1,0,2,"2,882",21,"2,959"
Rafael,Cezar,pce118, @rafcezarr ,4,2,57,19,71,95
Lekha,Chakraborty,pch589, @lekhachakrborty ,4,0,41,"13,300",932,684
Areendam,Chanda,pch59, @areendam_c ,10,10,1077,618,289,160
Arthur,Charpentier,pch1623, @freakonometrics ,5,4,105,"45,900","11,400","21,800"
Cl√©o,Chassonnery-Za√Øgouche,pch1191, @cleocz ,1,0,1,"1,027",745,427
Partha,Chatterjee,pch479, @p_chatterjee ,4,2,43,13,47,7
Xi,Chen,pch679, @xcyale ,4,1,49,663,288,284
Zhuo,Chen,pch405, @zhuo_adam_chen ,8,6,264,633,408,198
Beatrice,Cherrier,pch1668, @undercoverhist ,3,0,21,"12,300","4,752","7,368"
John,Chilton,pch803, @uaeeconomist ,4,3,61,"7,599",648,278
Mireille,Chiroleu-Assouline,pch456, @mchiroleua ,5,4,111,196,126,215
David,Chivers,pch1198, @dave_chivers ,1,0,2,"2,790",462,639
Michael,Christl,pch1472, @chr_mich ,2,0,7,"4,650",422,793
Steve,Cicala,pci93, @stevecicala ,3,1,31,"2,152",204,693
Alejandro,Cid,pci120, @alejandrocid_uy ,2,0,18,409,64,562
Victor,Claar,pcl27, @victorclaar ,2,0,10,"2,248","2,127","10,200"
Ken,Clark,pcl23, @kenclarkecon ,12,14,640,"1,446",314,348
Geoffrey,Clarke,pcl113, @nycgeoff ,1,0,3,882,"1,477",359
Michael,Clemens,pcl20, @m_clem ,17,27,1491,"34,300","3,824","33,600"
Sofronis,Clerides,pcl7, @sofronclerides ,9,8,1181,"5,124",410,"1,950"
David,Clingingsmith,pcl60, @dclingi ,4,3,130,"2,537",288,422
Paul,Clist,pcl73, @paulclist ,5,4,110,"1,326",321,268
Alex,Cobham,pco8, @alexcobham ,6,3,123,"25,400","2,570","7,983"
Alba,Collart,pco693, @ajcollart ,1,0,3,229,234,209
Matthew,Collin,pco702, @aidthoughts ,4,1,40,"4,892","2,811","3,465"
Jason,Collins,pco563, @jasonacollins ,2,1,17,"2,981",666,"2,520"
Christopher,Colvin,pco292, @cliochris ,2,0,12,656,590,722
Mariarosaria,Comunale,pco777, @mariosa_com ,3,1,38,"11,900","2,533",611
J. Ignacio,Conde-Ruiz,pco86, @conderuiz ,10,10,576,"8,887",371,"11,200"
Davide,Consoli,pco102, @davide_consoli ,8,7,200,"8,650",328,418
Amelie,Constant,pco117, @afconstant299 ,18,28,1047,371,338,227
Mihnea,Constantinescu,pco830, @mihneaconst ,1,0,8,"1,936",549,152
Gabriella,Conti,pco273, @gabri_elle76 ,10,11,344,"2,079",320,380
Lisa,Cook,pco838, @drlisadcook ,5,2,77,"6,996",939,"4,290"
Miles,Corak,pco98, @milescorak ,15,20,940,456,103,"4,964"
Laura,Coroneo,pco461, @lcoroneo ,4,2,73,87,63,297
Joan,Costa-i-Font,pco20, @joancostaifont ,15,21,587,"2,637",272,680
Virginie,Coudert,pco112, @virginiecouder1 ,17,23,852,137,196,157
J√©zabel,Couppey-Soubeyran,pco637, @jcs_mbf ,4,2,59,"2,864",483,"2,701"
Alfredo,Coutino,pco822, @alfredocoutino ,1,0,5,"2,997",14,865
Enrique,Covarrubias,pco309, @enriquecovar ,1,0,3,"1,677",152,536
Diane,Coyle,pco861, @dianecoyle1859 ,6,5,106,"34,800","1,010","17,800"
William,Craighead,pcr146, @bill_craighead ,2,1,27,434,299,76
James,Cust,pcu53, @jimcust ,6,5,101,"1,435","4,995","4,066"
Marcos,Dal Bianco,pda191, @mjdalbianco ,2,1,29,63,470,63
Joze,Damijan,pda74, @jdamijan ,12,15,737,"4,911",73,"2,661"
Gianmarco,Daniele,pda714, @giammacco ,2,1,22,271,"1,246","1,492"
Samuel,Danthine,pda237, @sdanthine ,2,0,9,"7,320","1,227",283
Thibault,Darcillon,pda721, @tdarcillon ,2,0,9,756,640,442
William,Darity,pda222, @sandydarity ,15,24,1015,"89,000","1,360","19,700"
Ram Upendra,Das,pda267, @upendra900 ,2,0,7,"3,471",325,"3,688"
Christian,Daude,pda243, @cdaude ,10,12,659,"5,559",500,"1,613"
Anda,David,pda522, @anda__david ,3,0,20,"2,522","1,041",656
Sinclair,Davidson,pda347, @sincdavidson ,4,3,77,"20,800",658,"1,654"
Paul,De Grauwe,pde1077, @pdegrauwe ,25,61,2440,"1,359",156,"48,500"
Rafael,De Hoyos,pde242, @rafadehoyos ,7,5,361,"2,317",421,"1,536"
Juan,de Lucio,pde610, @juan_de_lucio ,6,4,149,"3,650",367,627
Nathalie,de Marcellis-Warin,pde88, @n_demarcellis ,2,1,20,"8,424","3,968","1,565"
Jonathan,de Quidt,pde730, @jondequidt ,3,2,44,"3,081",339,518
Gaetan,de Rassenfosse,pde369, @gderasse ,8,7,222,371,137,348
Daniele,de Rigo,pde791, @dderigo ,2,0,9,425,47,39
Martin,De Wit,pde503, @africaeconomist ,2,2,44,"2,284","1,032","1,266"
AndrÃ©s,Dean,pde608, @andresdeanc ,5,2,107,"1,130",629,447
Ryan,Decker,pde1061, @updatedpriors ,6,5,203,"16,100",462,"2,629"
Thomas,Dee,pde619, @thomas_s_dee ,18,25,1307,971,553,"1,562"
Salim,Dehmej,pde1006, @sdehmej ,1,0,2,"1,490",491,724
Philippe,Delacote,pde391, @phildelacote ,7,3,138,"1,794",357,196
Liam,Delaney,pde287, @liamdelaneyecon ,10,12,264,"26,900","3,290","4,839"
Anne-Laure,Delatte,pba350, @aldelatte ,10,12,264,"2,340",160,"1,492"
Marina,Della Giusta,pde403, @mardelgiu ,7,4,121,739,468,290
Maria,Demertzis,pde274, @mariademertzis ,13,16,489,"1,696",160,472
Panicos,Demetriades,pde5, @pdemetriades ,18,27,2039,"2,271",423,531
Asli,Demirguc-Kunt,pde226, @ademirguckunt ,60,125,12474,288,68,780
Laurent,Denant-BoÃ¨mont,pde364, @ldenant ,6,4,295,"3,389",305,230
Kevin,Denny,pde229, @kevindenny ,10,11,335,"1,919",744,"1,204"
Maxime,Desmarais-Tremblay,pde1050, @maxime_dt ,2,0,7,296,154,214
Ralf,Dewenter,pde639, @blog_m ,10,11,261,"1,043",277,281
Sowmya,Dhanaraj,pdh57, @dhanarajsowmya ,1,0,3,1,62,20
Alessandro,Di Nola,pdi453, @aledinola ,1,1,12,"3,693",270,243
Fabio,DÃ?az,pdi466, @diazfabioandres ,6,5,101,749,946,408
Ana,Diaz Escobar,pdi179, @adiazescobar ,4,1,44,"2,655",697,764
Fernando,Diaz Lopez,pda433, @fjdiazlopez ,1,0,6,"1,464",705,310
Matt,Dickson,pdi176, @mattdickson__ ,7,7,157,"3,666",793,355
Francis,Diebold,pdi1, @francisdiebold ,53,96,15272,482,20,"2,700"
Alexander,Dilger,pdi181, @alexanderdilger ,4,1,68,"2,813",160,515
Eugen,Dimant,pdi363, @eugen_dimant ,4,3,49,359,394,135
Jonathan,Dingel,pdi319, @tradediversion ,3,2,79,"3,242",156,982
Carlo,D'Ippoliti,pdi115, @dippoliti ,5,2,54,"2,616",838,464
Dennis,Dittrich,pdi16, @davdittrich ,4,3,81,"17,200",448,"8,445"
Abdelkader,Djeflat,pdj24, @abdelkaderdjefl ,1,0,3,79,54,52
Matthias,Doepke,pdo8, @mdoepke ,15,21,2035,25,64,171
William,Doerner,pdo303, @wdoerner ,3,1,25,499,"2,635","3,286"
Takero,Doi,pdo15, @takero_doi ,6,6,143,"8,024",88,"14,900"
